job_description,resume_text,label
"We are looking for a Product Manager with experience in Docker, React, AWS.","Experienced Product Manager skilled in Docker, React, AWS, Problem Solving. Problem Solving.",1
"We are looking for a Software Engineer with experience in Machine Learning, Python, Node.js.","Experienced Software Engineer skilled in Machine Learning, Python, Node.js, Communication. Communication.",1
"We are looking for a Software Engineer with experience in Machine Learning, Docker, Node.js.","Data Scientist with expertise in AWS, Kubernetes, SQL.",0
"We are looking for a Software Engineer with experience in Machine Learning, Docker, Node.js.","DevOps Engineer with expertise in JavaScript, SQL, React.",0
"We are looking for a Data Scientist with experience in Node.js, Docker, AWS.","Product Manager with expertise in Machine Learning, Java, React.",0
"We are looking for a Product Manager with experience in Machine Learning, SQL, JavaScript.","DevOps Engineer with expertise in Docker, Node.js, Kubernetes.",0
"We are looking for a Data Scientist with experience in AWS, Docker, Python.","Software Engineer with expertise in Machine Learning, Java, Node.js.",0
"We are looking for a DevOps Engineer with experience in SQL, Java, JavaScript.","Data Scientist with expertise in React, AWS, Kubernetes.",0
"We are looking for a DevOps Engineer with experience in AWS, Kubernetes, SQL.","Experienced DevOps Engineer skilled in AWS, Kubernetes, SQL, Teamwork. Leadership.",1
"We are looking for a DevOps Engineer with experience in Python, AWS, Machine Learning.","Experienced DevOps Engineer skilled in Python, AWS, Machine Learning, Problem Solving. Teamwork.",1
"We are looking for a Data Scientist with experience in SQL, Java, React.","Experienced Data Scientist skilled in SQL, Java, React, Communication. Communication.",1
"We are looking for a Data Scientist with experience in AWS, Node.js, Docker.","Experienced Data Scientist skilled in AWS, Node.js, Docker, Problem Solving. Teamwork.",1
"We are looking for a DevOps Engineer with experience in Docker, AWS, JavaScript.","Experienced DevOps Engineer skilled in Docker, AWS, JavaScript, Leadership. Communication.",1
"We are looking for a DevOps Engineer with experience in Machine Learning, SQL, AWS.","Software Engineer with expertise in Java, React, Kubernetes.",0
"We are looking for a Data Scientist with experience in Docker, SQL, Machine Learning.","Experienced Data Scientist skilled in Docker, SQL, Machine Learning, Leadership. Communication.",1
"We are looking for a DevOps Engineer with experience in Java, AWS, Docker.","Data Scientist with expertise in Node.js, JavaScript, Machine Learning.",0
"We are looking for a Product Manager with experience in Python, React, SQL.","Software Engineer with expertise in Node.js, JavaScript, Java.",0
"We are looking for a Product Manager with experience in Machine Learning, Docker, Node.js.","DevOps Engineer with expertise in SQL, Python, React.",0
"We are looking for a Software Engineer with experience in Node.js, JavaScript, React.","Data Scientist with expertise in Python, Machine Learning, Kubernetes.",0
"We are looking for a DevOps Engineer with experience in Docker, AWS, Machine Learning.","Experienced DevOps Engineer skilled in Docker, AWS, Machine Learning, Problem Solving. Leadership.",1
"We are looking for a Data Scientist with experience in JavaScript, Kubernetes, AWS.","DevOps Engineer with expertise in Python, Node.js, React.",0
"We are looking for a DevOps Engineer with experience in SQL, JavaScript, Machine Learning.","Experienced DevOps Engineer skilled in SQL, JavaScript, Machine Learning, Leadership. Leadership.",1
"We are looking for a Product Manager with experience in Kubernetes, Docker, AWS.","Experienced Product Manager skilled in Kubernetes, Docker, AWS, Teamwork. Communication.",1
"We are looking for a Data Scientist with experience in Docker, JavaScript, SQL.","Experienced Data Scientist skilled in Docker, JavaScript, SQL, Communication. Teamwork.",1
"We are looking for a DevOps Engineer with experience in Kubernetes, JavaScript, Node.js.","Product Manager with expertise in Java, Docker, React.",0
"We are looking for a DevOps Engineer with experience in React, Java, Kubernetes.","Experienced DevOps Engineer skilled in React, Java, Kubernetes, Problem Solving. Communication.",1
"We are looking for a Software Engineer with experience in React, Kubernetes, Machine Learning.","Experienced Software Engineer skilled in React, Kubernetes, Machine Learning, Teamwork. Teamwork.",1
"We are looking for a Data Scientist with experience in JavaScript, Machine Learning, AWS.","Product Manager with expertise in Kubernetes, Docker, Java.",0
"We are looking for a Data Scientist with experience in Kubernetes, Docker, Node.js.","DevOps Engineer with expertise in Python, JavaScript, Java.",0
"We are looking for a Software Engineer with experience in Machine Learning, Kubernetes, Docker.","Data Scientist with expertise in SQL, AWS, Python.",0
"We are looking for a Data Scientist with experience in Java, SQL, JavaScript.","Experienced Data Scientist skilled in Java, SQL, JavaScript, Teamwork. Teamwork.",1
"We are looking for a DevOps Engineer with experience in Python, Node.js, Machine Learning.","Product Manager with expertise in Docker, SQL, AWS.",0
"We are looking for a Software Engineer with experience in Node.js, Python, JavaScript.","Experienced Software Engineer skilled in Node.js, Python, JavaScript, Teamwork. Leadership.",1
"We are looking for a Data Scientist with experience in AWS, JavaScript, React.","Experienced Data Scientist skilled in AWS, JavaScript, React, Problem Solving. Teamwork.",1
"We are looking for a Software Engineer with experience in JavaScript, Kubernetes, Machine Learning.","Experienced Software Engineer skilled in JavaScript, Kubernetes, Machine Learning, Problem Solving. Communication.",1
"We are looking for a Product Manager with experience in JavaScript, SQL, AWS.","Software Engineer with expertise in Python, Machine Learning, React.",0
"We are looking for a DevOps Engineer with experience in Docker, Machine Learning, SQL.","Experienced DevOps Engineer skilled in Docker, Machine Learning, SQL, Leadership. Problem Solving.",1
"We are looking for a DevOps Engineer with experience in React, SQL, JavaScript.","Experienced DevOps Engineer skilled in React, SQL, JavaScript, Communication. Communication.",1
"We are looking for a Product Manager with experience in AWS, JavaScript, Docker.","Software Engineer with expertise in Machine Learning, Java, Python.",0
"We are looking for a Data Scientist with experience in Java, Python, React.","Experienced Data Scientist skilled in Java, Python, React, Communication. Communication.",1
"We are looking for a Software Engineer with experience in Java, React, Machine Learning.","Experienced Software Engineer skilled in Java, React, Machine Learning, Leadership. Leadership.",1
"We are looking for a Data Scientist with experience in Kubernetes, Node.js, React.","Software Engineer with expertise in Machine Learning, Java, JavaScript.",0
"We are looking for a Product Manager with experience in Machine Learning, Docker, Kubernetes.","Experienced Product Manager skilled in Machine Learning, Docker, Kubernetes, Teamwork. Problem Solving.",1
"We are looking for a Data Scientist with experience in React, JavaScript, Docker.","Product Manager with expertise in Kubernetes, Python, AWS.",0
"We are looking for a DevOps Engineer with experience in Python, Node.js, Docker.","Software Engineer with expertise in JavaScript, Kubernetes, SQL.",0
"We are looking for a DevOps Engineer with experience in AWS, SQL, React.","Software Engineer with expertise in Machine Learning, Java, Node.js.",0
"We are looking for a Software Engineer with experience in Docker, React, AWS.","Product Manager with expertise in Node.js, SQL, Machine Learning.",0
"We are looking for a Product Manager with experience in Node.js, Python, SQL.","DevOps Engineer with expertise in React, Java, JavaScript.",0
"We are looking for a DevOps Engineer with experience in Kubernetes, Java, Machine Learning.","Experienced DevOps Engineer skilled in Kubernetes, Java, Machine Learning, Teamwork. Teamwork.",1
"We are looking for a Data Scientist with experience in JavaScript, SQL, AWS.","Experienced Data Scientist skilled in JavaScript, SQL, AWS, Leadership. Leadership.",1
"We are looking for a Data Scientist with experience in JavaScript, Java, AWS.","Product Manager with expertise in React, Machine Learning, Node.js.",0
"We are looking for a Software Engineer with experience in Python, Kubernetes, Machine Learning.","Data Scientist with expertise in AWS, Java, React.",0
"We are looking for a Data Scientist with experience in Machine Learning, SQL, Node.js.","Experienced Data Scientist skilled in Machine Learning, SQL, Node.js, Leadership. Communication.",1
"We are looking for a Data Scientist with experience in Java, AWS, Python.","Product Manager with expertise in Docker, Machine Learning, Node.js.",0
"We are looking for a Software Engineer with experience in JavaScript, Kubernetes, Java.","Experienced Software Engineer skilled in JavaScript, Kubernetes, Java, Teamwork. Leadership.",1
"We are looking for a Data Scientist with experience in JavaScript, Java, Kubernetes.","Product Manager with expertise in Python, Machine Learning, React.",0
"We are looking for a Data Scientist with experience in Docker, Java, JavaScript.","Software Engineer with expertise in Kubernetes, Python, Node.js.",0
"We are looking for a Software Engineer with experience in Docker, SQL, Kubernetes.","Data Scientist with expertise in React, Node.js, Python.",0
"We are looking for a DevOps Engineer with experience in React, AWS, Python.","Experienced DevOps Engineer skilled in React, AWS, Python, Leadership. Leadership.",1
"We are looking for a DevOps Engineer with experience in Docker, Python, Java.","Product Manager with expertise in JavaScript, React, AWS.",0
"We are looking for a Software Engineer with experience in JavaScript, SQL, Kubernetes.","Experienced Software Engineer skilled in JavaScript, SQL, Kubernetes, Problem Solving. Teamwork.",1
"We are looking for a Data Scientist with experience in SQL, Node.js, Machine Learning.","DevOps Engineer with expertise in Java, JavaScript, AWS.",0
"We are looking for a Product Manager with experience in Node.js, Python, Kubernetes.","DevOps Engineer with expertise in Machine Learning, React, SQL.",0
"We are looking for a Product Manager with experience in React, Machine Learning, Docker.","Data Scientist with expertise in AWS, SQL, Python.",0
"We are looking for a Software Engineer with experience in Node.js, Machine Learning, Kubernetes.","Experienced Software Engineer skilled in Node.js, Machine Learning, Kubernetes, Problem Solving. Leadership.",1
"We are looking for a Data Scientist with experience in Kubernetes, Node.js, Docker.","DevOps Engineer with expertise in AWS, JavaScript, Java.",0
"We are looking for a Software Engineer with experience in Python, Java, React.","Experienced Software Engineer skilled in Python, Java, React, Teamwork. Problem Solving.",1
"We are looking for a Data Scientist with experience in AWS, Python, Node.js.","DevOps Engineer with expertise in Machine Learning, React, SQL.",0
"We are looking for a Product Manager with experience in AWS, JavaScript, Node.js.","Experienced Product Manager skilled in AWS, JavaScript, Node.js, Teamwork. Communication.",1
"We are looking for a DevOps Engineer with experience in AWS, SQL, Kubernetes.","Experienced DevOps Engineer skilled in AWS, SQL, Kubernetes, Problem Solving. Leadership.",1
"We are looking for a Product Manager with experience in Kubernetes, Machine Learning, Docker.","Experienced Product Manager skilled in Kubernetes, Machine Learning, Docker, Problem Solving. Problem Solving.",1
"We are looking for a Product Manager with experience in Java, Machine Learning, Kubernetes.","Experienced Product Manager skilled in Java, Machine Learning, Kubernetes, Leadership. Leadership.",1
"We are looking for a Product Manager with experience in Machine Learning, Node.js, JavaScript.","Experienced Product Manager skilled in Machine Learning, Node.js, JavaScript, Leadership. Leadership.",1
"We are looking for a Data Scientist with experience in JavaScript, AWS, Machine Learning.","Software Engineer with expertise in React, Python, Kubernetes.",0
"We are looking for a Product Manager with experience in SQL, Java, Kubernetes.","DevOps Engineer with expertise in Python, Machine Learning, JavaScript.",0
"We are looking for a DevOps Engineer with experience in Java, Python, Node.js.","Software Engineer with expertise in Machine Learning, AWS, Docker.",0
"We are looking for a DevOps Engineer with experience in Docker, React, Python.","Experienced DevOps Engineer skilled in Docker, React, Python, Communication. Problem Solving.",1
"We are looking for a Product Manager with experience in JavaScript, React, Kubernetes.","DevOps Engineer with expertise in Docker, Machine Learning, Node.js.",0
"We are looking for a Data Scientist with experience in Kubernetes, AWS, Java.","DevOps Engineer with expertise in React, Docker, Node.js.",0
"We are looking for a DevOps Engineer with experience in Node.js, Java, Kubernetes.","Data Scientist with expertise in Python, SQL, JavaScript.",0
"We are looking for a Product Manager with experience in Node.js, Kubernetes, SQL.","Experienced Product Manager skilled in Node.js, Kubernetes, SQL, Teamwork. Leadership.",1
"We are looking for a Data Scientist with experience in Kubernetes, Node.js, AWS.","Experienced Data Scientist skilled in Kubernetes, Node.js, AWS, Teamwork. Teamwork.",1
"We are looking for a Software Engineer with experience in Kubernetes, AWS, Node.js.","Experienced Software Engineer skilled in Kubernetes, AWS, Node.js, Problem Solving. Leadership.",1
"We are looking for a DevOps Engineer with experience in JavaScript, React, Node.js.","Experienced DevOps Engineer skilled in JavaScript, React, Node.js, Teamwork. Problem Solving.",1
"We are looking for a DevOps Engineer with experience in Java, Docker, Node.js.","Data Scientist with expertise in AWS, SQL, JavaScript.",0
"We are looking for a Product Manager with experience in AWS, Java, Docker.","Experienced Product Manager skilled in AWS, Java, Docker, Communication. Leadership.",1
"We are looking for a Product Manager with experience in Kubernetes, SQL, JavaScript.","Experienced Product Manager skilled in Kubernetes, SQL, JavaScript, Problem Solving. Problem Solving.",1
"We are looking for a Software Engineer with experience in Machine Learning, Kubernetes, Python.","Data Scientist with expertise in JavaScript, Docker, SQL.",0
"We are looking for a Software Engineer with experience in Python, SQL, Node.js.","Experienced Software Engineer skilled in Python, SQL, Node.js, Leadership. Problem Solving.",1
"We are looking for a DevOps Engineer with experience in JavaScript, Java, AWS.","Software Engineer with expertise in SQL, Kubernetes, Docker.",0
"We are looking for a Product Manager with experience in Docker, JavaScript, AWS.","Experienced Product Manager skilled in Docker, JavaScript, AWS, Teamwork. Teamwork.",1
"We are looking for a Product Manager with experience in React, Java, SQL.","Experienced Product Manager skilled in React, Java, SQL, Problem Solving. Teamwork.",1
"We are looking for a Software Engineer with experience in SQL, React, Docker.","Experienced Software Engineer skilled in SQL, React, Docker, Communication. Leadership.",1
"We are looking for a Software Engineer with experience in JavaScript, SQL, Kubernetes.","Data Scientist with expertise in AWS, Java, Machine Learning.",0
"We are looking for a Product Manager with experience in Node.js, Kubernetes, AWS.","Experienced Product Manager skilled in Node.js, Kubernetes, AWS, Leadership. Communication.",1
"We are looking for a Data Scientist with experience in SQL, Docker, Machine Learning.","DevOps Engineer with expertise in JavaScript, Python, React.",0
"We are looking for a Data Scientist with experience in React, SQL, JavaScript.","Product Manager with expertise in Docker, Node.js, Kubernetes.",0
"We are looking for a Data Scientist with experience in JavaScript, Machine Learning, Node.js.","Experienced Data Scientist skilled in JavaScript, Machine Learning, Node.js, Leadership. Teamwork.",1
"We are looking for a Product Manager with experience in Kubernetes, AWS, Machine Learning.","Software Engineer with expertise in Python, React, Docker.",0
"We are looking for a DevOps Engineer with experience in AWS, Docker, Java.","Product Manager with expertise in JavaScript, React, Machine Learning.",0
"We are looking for a Product Manager with experience in AWS, Docker, SQL.","Experienced Product Manager skilled in AWS, Docker, SQL, Leadership. Teamwork.",1
"We are looking for a DevOps Engineer with experience in Node.js, Docker, Kubernetes.","Experienced DevOps Engineer skilled in Node.js, Docker, Kubernetes, Teamwork. Leadership.",1
"We are looking for a Data Scientist with experience in AWS, JavaScript, Kubernetes.","Product Manager with expertise in Docker, SQL, Java.",0
"We are looking for a Software Engineer with experience in React, Docker, Java.","Experienced Software Engineer skilled in React, Docker, Java, Leadership. Leadership.",1
"We are looking for a Software Engineer with experience in React, Kubernetes, Node.js.","Data Scientist with expertise in SQL, AWS, JavaScript.",0
"We are looking for a Data Scientist with experience in AWS, JavaScript, Node.js.","Experienced Data Scientist skilled in AWS, JavaScript, Node.js, Teamwork. Problem Solving.",1
"We are looking for a Data Scientist with experience in Python, Docker, Machine Learning.","Software Engineer with expertise in SQL, AWS, Java.",0
"We are looking for a DevOps Engineer with experience in Python, SQL, Node.js.","Experienced DevOps Engineer skilled in Python, SQL, Node.js, Communication. Leadership.",1
"We are looking for a Data Scientist with experience in Python, Machine Learning, React.","DevOps Engineer with expertise in Docker, AWS, JavaScript.",0
"We are looking for a Software Engineer with experience in Docker, React, Java.","Data Scientist with expertise in AWS, Machine Learning, JavaScript.",0
"We are looking for a DevOps Engineer with experience in Docker, React, JavaScript.","Experienced DevOps Engineer skilled in Docker, React, JavaScript, Problem Solving. Communication.",1
"We are looking for a Product Manager with experience in Kubernetes, Docker, AWS.","Data Scientist with expertise in JavaScript, Machine Learning, React.",0
"We are looking for a Data Scientist with experience in Node.js, Kubernetes, Machine Learning.","Product Manager with expertise in AWS, Python, JavaScript.",0
"We are looking for a Data Scientist with experience in Python, Kubernetes, Java.","Experienced Data Scientist skilled in Python, Kubernetes, Java, Problem Solving. Problem Solving.",1
"We are looking for a DevOps Engineer with experience in React, Kubernetes, AWS.","Experienced DevOps Engineer skilled in React, Kubernetes, AWS, Leadership. Teamwork.",1
"We are looking for a Data Scientist with experience in SQL, Machine Learning, Node.js.","Experienced Data Scientist skilled in SQL, Machine Learning, Node.js, Communication. Teamwork.",1
"We are looking for a Software Engineer with experience in React, AWS, Node.js.","DevOps Engineer with expertise in Java, JavaScript, Python.",0
"We are looking for a Product Manager with experience in Python, Node.js, JavaScript.","Experienced Product Manager skilled in Python, Node.js, JavaScript, Problem Solving. Teamwork.",1
"We are looking for a Product Manager with experience in Java, AWS, Kubernetes.","DevOps Engineer with expertise in React, Docker, JavaScript.",0
"We are looking for a DevOps Engineer with experience in Node.js, JavaScript, Kubernetes.","Experienced DevOps Engineer skilled in Node.js, JavaScript, Kubernetes, Leadership. Communication.",1
"We are looking for a DevOps Engineer with experience in Docker, Machine Learning, React.","Product Manager with expertise in Kubernetes, JavaScript, Python.",0
"We are looking for a Software Engineer with experience in AWS, Python, Docker.","Experienced Software Engineer skilled in AWS, Python, Docker, Teamwork. Leadership.",1
"We are looking for a Data Scientist with experience in Machine Learning, Node.js, Java.","Experienced Data Scientist skilled in Machine Learning, Node.js, Java, Communication. Problem Solving.",1
"We are looking for a Data Scientist with experience in Docker, Kubernetes, JavaScript.","Product Manager with expertise in Java, React, AWS.",0
"We are looking for a DevOps Engineer with experience in Node.js, SQL, Python.","Experienced DevOps Engineer skilled in Node.js, SQL, Python, Leadership. Teamwork.",1
"We are looking for a Data Scientist with experience in JavaScript, Kubernetes, Node.js.","Software Engineer with expertise in Java, Docker, SQL.",0
"We are looking for a Data Scientist with experience in Python, Node.js, Docker.","Software Engineer with expertise in Kubernetes, Java, AWS.",0
"We are looking for a Data Scientist with experience in SQL, JavaScript, Python.","Experienced Data Scientist skilled in SQL, JavaScript, Python, Leadership. Problem Solving.",1
"We are looking for a Software Engineer with experience in Machine Learning, JavaScript, Kubernetes.","Experienced Software Engineer skilled in Machine Learning, JavaScript, Kubernetes, Leadership. Problem Solving.",1
"We are looking for a Product Manager with experience in Machine Learning, JavaScript, Java.","Data Scientist with expertise in Docker, Kubernetes, SQL.",0
"We are looking for a DevOps Engineer with experience in AWS, Docker, Java.","Experienced DevOps Engineer skilled in AWS, Docker, Java, Leadership. Teamwork.",1
"We are looking for a Product Manager with experience in Machine Learning, Node.js, JavaScript.","Software Engineer with expertise in Python, Kubernetes, AWS.",0
"We are looking for a Data Scientist with experience in Docker, Python, React.","Software Engineer with expertise in Kubernetes, SQL, Node.js.",0
"We are looking for a DevOps Engineer with experience in SQL, Docker, React.","Experienced DevOps Engineer skilled in SQL, Docker, React, Problem Solving. Leadership.",1
"We are looking for a Data Scientist with experience in Python, Docker, JavaScript.","Experienced Data Scientist skilled in Python, Docker, JavaScript, Teamwork. Teamwork.",1
"We are looking for a Product Manager with experience in AWS, Node.js, SQL.","Experienced Product Manager skilled in AWS, Node.js, SQL, Problem Solving. Problem Solving.",1
"We are looking for a Product Manager with experience in Kubernetes, Node.js, AWS.","DevOps Engineer with expertise in JavaScript, SQL, Docker.",0
"We are looking for a Software Engineer with experience in JavaScript, React, Node.js.","DevOps Engineer with expertise in Machine Learning, SQL, Kubernetes.",0
"We are looking for a Product Manager with experience in Node.js, Java, AWS.","Experienced Product Manager skilled in Node.js, Java, AWS, Communication. Communication.",1
"We are looking for a Data Scientist with experience in JavaScript, SQL, Docker.","DevOps Engineer with expertise in Java, Python, React.",0
"We are looking for a DevOps Engineer with experience in Docker, Python, Machine Learning.","Experienced DevOps Engineer skilled in Docker, Python, Machine Learning, Problem Solving. Communication.",1
"We are looking for a Software Engineer with experience in Python, Docker, Node.js.","Experienced Software Engineer skilled in Python, Docker, Node.js, Teamwork. Leadership.",1
"We are looking for a Product Manager with experience in SQL, Machine Learning, Node.js.","Data Scientist with expertise in Java, Python, Kubernetes.",0
"We are looking for a Data Scientist with experience in SQL, Machine Learning, JavaScript.","Experienced Data Scientist skilled in SQL, Machine Learning, JavaScript, Teamwork. Leadership.",1
"We are looking for a DevOps Engineer with experience in Java, Node.js, Kubernetes.","Experienced DevOps Engineer skilled in Java, Node.js, Kubernetes, Teamwork. Teamwork.",1
"We are looking for a Data Scientist with experience in JavaScript, AWS, Node.js.","Experienced Data Scientist skilled in JavaScript, AWS, Node.js, Problem Solving. Communication.",1
"We are looking for a Data Scientist with experience in Node.js, AWS, Kubernetes.","DevOps Engineer with expertise in Java, JavaScript, Python.",0
"We are looking for a Data Scientist with experience in Python, AWS, Kubernetes.","Software Engineer with expertise in JavaScript, React, Java.",0
"We are looking for a Data Scientist with experience in Kubernetes, Python, Machine Learning.","Experienced Data Scientist skilled in Kubernetes, Python, Machine Learning, Communication. Teamwork.",1
"We are looking for a Software Engineer with experience in AWS, Kubernetes, Node.js.","Experienced Software Engineer skilled in AWS, Kubernetes, Node.js, Communication. Communication.",1
"We are looking for a DevOps Engineer with experience in SQL, Machine Learning, Docker.","Experienced DevOps Engineer skilled in SQL, Machine Learning, Docker, Teamwork. Leadership.",1
"We are looking for a Software Engineer with experience in AWS, Python, Node.js.","Experienced Software Engineer skilled in AWS, Python, Node.js, Problem Solving. Leadership.",1
"We are looking for a DevOps Engineer with experience in Kubernetes, Machine Learning, Python.","Data Scientist with expertise in Java, AWS, SQL.",0
"We are looking for a DevOps Engineer with experience in AWS, Python, Machine Learning.","Experienced DevOps Engineer skilled in AWS, Python, Machine Learning, Teamwork. Leadership.",1
"We are looking for a Product Manager with experience in SQL, Kubernetes, React.","Data Scientist with expertise in Python, Java, Machine Learning.",0
"We are looking for a Data Scientist with experience in Python, Kubernetes, AWS.","Experienced Data Scientist skilled in Python, Kubernetes, AWS, Teamwork. Problem Solving.",1
"We are looking for a Product Manager with experience in JavaScript, Java, Node.js.","Experienced Product Manager skilled in JavaScript, Java, Node.js, Teamwork. Communication.",1
"We are looking for a Software Engineer with experience in JavaScript, SQL, Machine Learning.","Product Manager with expertise in Docker, Kubernetes, Java.",0
"We are looking for a Data Scientist with experience in Python, Java, React.","Experienced Data Scientist skilled in Python, Java, React, Communication. Communication.",1
"We are looking for a Product Manager with experience in React, JavaScript, Node.js.","Software Engineer with expertise in SQL, Machine Learning, Kubernetes.",0
"We are looking for a Product Manager with experience in SQL, JavaScript, Machine Learning.","Experienced Product Manager skilled in SQL, JavaScript, Machine Learning, Problem Solving. Teamwork.",1
"We are looking for a Product Manager with experience in Kubernetes, Node.js, Java.","Experienced Product Manager skilled in Kubernetes, Node.js, Java, Teamwork. Communication.",1
"We are looking for a Data Scientist with experience in Java, SQL, Node.js.","Software Engineer with expertise in Kubernetes, AWS, JavaScript.",0
"We are looking for a Product Manager with experience in SQL, Kubernetes, React.","Data Scientist with expertise in Docker, Python, Machine Learning.",0
"We are looking for a Product Manager with experience in Kubernetes, SQL, JavaScript.","Experienced Product Manager skilled in Kubernetes, SQL, JavaScript, Problem Solving. Leadership.",1
"We are looking for a Data Scientist with experience in AWS, Java, Kubernetes.","Experienced Data Scientist skilled in AWS, Java, Kubernetes, Teamwork. Problem Solving.",1
